table_name,project_id,dataset_id,table_id,purpose,key_columns,use_cases,notes,column_count,sample_columns,column_types,is_active,priority,last_updated,reviewed_by,sql_examples,business_context,data_quality_notes
fanbase-reporting.analytics_396059295.events_20241103,fanbase-reporting,analytics_396059295,events_20241103,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241104,fanbase-reporting,analytics_396059295,events_20241104,This table stores events data related to user interactions with a specific platform or application.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement by tracking events such as clicks, views, purchases, etc., Calculating event values in USD to understand the monetary impact of user actions, Identifying unique users through user_id or user_pseudo_id for personalized analysis and targeting",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241105,fanbase-reporting,analytics_396059295,events_20241105,This table stores events data related to user interactions within a fanbase platform for reporting and analytics purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by event types and timestamps, Tracking user behavior and interactions within the platform, Calculating event values in USD for revenue analysis, Identifying unique users through user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241106,fanbase-reporting,analytics_396059295,events_20241106,This table stores events data related to user interactions for analytics purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior based on different events, Calculating event values in USD, Tracking event sequences and timestamps",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241107,fanbase-reporting,analytics_396059295,events_20241107,This table stores events data related to user interactions within a fanbase reporting system.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event interactions on a specific date, Calculating event duration by comparing event timestamps, Understanding user behavior by analyzing event names and parameters, Tracking user monetization through event value in USD",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241108,fanbase-reporting,analytics_396059295,events_20241108,This table stores events data related to user interactions within a fanbase application for reporting and analytics purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement and behavior within the fanbase application, Tracking event values in USD for revenue analysis, Identifying user sessions and sequences of events",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241109,fanbase-reporting,analytics_396059295,events_20241109,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement with the fanbase platform, Tracking user behavior and interactions, Calculating revenue generated from events",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241110,fanbase-reporting,analytics_396059295,events_20241110,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement with the fanbase platform, Tracking event values in USD, Understanding user behavior and preferences",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241111,fanbase-reporting,analytics_396059295,events_20241111,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241112,fanbase-reporting,analytics_396059295,events_20241112,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement and behavior on the fanbase platform, Tracking event values in USD for revenue analysis, Identifying user interactions over time based on event timestamps",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241113,fanbase-reporting,analytics_396059295,events_20241113,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating revenue generated by events through event_value_in_usd, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241114,fanbase-reporting,analytics_396059295,events_20241114,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241115,fanbase-reporting,analytics_396059295,events_20241115,This table stores events data related to user interactions with a specific platform or application.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event occurrences and timestamps, Calculating event values in USD to measure monetary impact, Identifying user interactions through user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241116,fanbase-reporting,analytics_396059295,events_20241116,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating revenue generated by events through event_value_in_usd, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241117,fanbase-reporting,analytics_396059295,events_20241117,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD, Tracking event sequences and timestamps for users, Identifying users through user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241118,fanbase-reporting,analytics_396059295,events_20241118,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating revenue generated by events through event_value_in_usd, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241119,fanbase-reporting,analytics_396059295,events_20241119,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking user sessions and sequences of events, Identifying users through user_id or user_pseudo_id",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241120,fanbase-reporting,analytics_396059295,events_20241120,This table stores events data related to user interactions within a fanbase application for reporting and analysis.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event interactions over time, Calculating event values in USD to understand the monetary impact of user actions, Identifying user behavior patterns by analyzing event sequences",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241121,fanbase-reporting,analytics_396059295,events_20241121,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis, Identifying users through user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241122,fanbase-reporting,analytics_396059295,events_20241122,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior, Tracking user engagement, Measuring event values in USD",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241123,fanbase-reporting,analytics_396059295,events_20241123,This table stores events data related to user interactions within a fanbase platform for reporting and analytics purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event interactions over time, Calculating event values in USD to understand the financial impact of user actions, Identifying user behavior patterns by analyzing event sequences and timestamps",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241124,fanbase-reporting,analytics_396059295,events_20241124,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd field, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241125,fanbase-reporting,analytics_396059295,events_20241125,This table stores events data related to user interactions within a fanbase reporting system.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement and behavior within the fanbase platform, Tracking event values in USD for financial analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241126,fanbase-reporting,analytics_396059295,events_20241126,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241127,fanbase-reporting,analytics_396059295,events_20241127,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241128,fanbase-reporting,analytics_396059295,events_20241128,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement and behavior on the fanbase platform, Tracking event values in USD for revenue analysis, Identifying user interactions and patterns based on event parameters",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241129,fanbase-reporting,analytics_396059295,events_20241129,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241130,fanbase-reporting,analytics_396059295,events_20241130,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior, Tracking event performance, Calculating event values in USD",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241201,fanbase-reporting,analytics_396059295,events_20241201,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior, Measuring user engagement, Tracking event values in USD",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241202,fanbase-reporting,analytics_396059295,events_20241202,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd field, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241203,fanbase-reporting,analytics_396059295,events_20241203,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Understanding user behavior through event parameters, Analyzing revenue generation by examining event values in USD, Tracking user activity and interactions using user IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241204,fanbase-reporting,analytics_396059295,events_20241204,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd field, Identifying user interactions and behavior patterns using user IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241205,fanbase-reporting,analytics_396059295,events_20241205,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241206,fanbase-reporting,analytics_396059295,events_20241206,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating revenue generated by events through event_value_in_usd, Identifying user behavior patterns using event parameters, Linking events to specific users through user IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241207,fanbase-reporting,analytics_396059295,events_20241207,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event dates, timestamps, and names, Calculating the monetary value of events through event_value_in_usd, Identifying user interactions and behavior patterns using user IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241208,fanbase-reporting,analytics_396059295,events_20241208,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241209,fanbase-reporting,analytics_396059295,events_20241209,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd field, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241210,fanbase-reporting,analytics_396059295,events_20241210,"This table stores events data related to fanbase reporting, including details such as event date, timestamp, name, parameters, user information, and monetary value.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking events over time, Calculating the monetary value of events, Identifying user behavior patterns based on event parameters",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241211,fanbase-reporting,analytics_396059295,events_20241211,This table stores event data related to user interactions within a fanbase reporting system.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event interactions over time, Calculating the monetary value associated with specific events, Identifying user behavior patterns based on event sequences",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241212,fanbase-reporting,analytics_396059295,events_20241212,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd column, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241213,fanbase-reporting,analytics_396059295,events_20241213,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241214,fanbase-reporting,analytics_396059295,events_20241214,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd column, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241215,fanbase-reporting,analytics_396059295,events_20241215,This table stores events data related to user interactions within a fanbase reporting system.,"event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event interactions over time, Calculating event values in USD to understand the financial impact of user actions, Identifying user behavior patterns by analyzing event sequences",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241216,fanbase-reporting,analytics_396059295,events_20241216,This table stores events data related to user interactions with a platform or application.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement by tracking events such as clicks, views, purchases, etc., Calculating event values in USD to understand the monetary impact of user actions, Identifying sequences of events with the bundle sequence ID, Tracking user interactions over time using event timestamps and previous timestamps, Mapping events to specific users using user IDs or pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241217,fanbase-reporting,analytics_396059295,events_20241217,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241218,fanbase-reporting,analytics_396059295,events_20241218,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241219,fanbase-reporting,analytics_396059295,events_20241219,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241220,fanbase-reporting,analytics_396059295,events_20241220,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
